group,subset,method_key,method,median_normalized_rf,median_bsd,mean_normalized_rf,mean_bsd
Amphibians,20,nearest_leaf_parent,Nearest Parent,0.8041958041958042,0.3563511872346357,0.7962703962703962,0.35854008193885545
Amphibians,20,no_mcs,No MCS,0.8041958041958042,0.3347331887530972,0.7920745920745921,0.35433007962181573
Amphibians,20,supertree,Supertree-based,0.7447552447552448,0.29059063882056224,0.7270396270396271,0.30257876061224853
Mammals,1,original,Proposed,0.16666666666666666,0.2473841552610262,0.1805555555555556,0.26206695115559486
Mammals,1,at_root,Root Attach,0.7916666666666666,0.3909110671803317,0.7993055555555554,0.38594195322926245
Mammals,1,nearest_leaf_parent,Nearest Parent,0.78125,0.36777829565707304,0.7881944444444444,0.36447100663599935
Mammals,1,no_mcs,No MCS,0.8020833333333333,0.3325665046965973,0.8069444444444446,0.35587977150983013
Mammals,1,supertree,Supertree-based,0.7604166666666667,0.360543648234274,0.7555555555555554,0.3944168496056291
Mammals,2,original,Proposed,0.20754716981132076,0.1892577943609422,0.20062893081761007,0.2134759644923023
Mammals,2,at_root,Root Attach,0.7924528301886793,0.38809753616674403,0.778616352201258,0.3901846088031645
Mammals,2,nearest_leaf_parent,Nearest Parent,0.7924528301886793,0.3777367620419967,0.7874213836477988,0.38712790092412946
Mammals,2,no_mcs,No MCS,0.8018867924528302,0.37843946283835234,0.7974842767295601,0.381379879936773
Mammals,2,supertree,Supertree-based,0.7358490566037735,0.3423617421694424,0.7226415094339622,0.3640855676446019
Mammals,3,original,Proposed,0.25862068965517243,0.3216773810666891,0.27528735632183904,0.31656977869087277
Mammals,3,at_root,Root Attach,0.8189655172413792,0.40270485077214335,0.8229885057471265,0.4062541734089225
Mammals,3,nearest_leaf_parent,Nearest Parent,0.8275862068965517,0.4047879449859694,0.8241379310344826,0.42178470697840403
Mammals,3,no_mcs,No MCS,0.8275862068965517,0.38742137947113686,0.8166666666666665,0.3968986647040145
Mammals,3,supertree,Supertree-based,0.7672413793103448,0.46341165654416094,0.7655172413793105,0.46800128269382885
Mammals,4,original,Proposed,0.23809523809523808,0.20153957338183637,0.26031746031746034,0.21259721335646964
Mammals,4,at_root,Root Attach,0.7936507936507936,0.43389453022366364,0.7936507936507938,0.42952978692144755
Mammals,4,nearest_leaf_parent,Nearest Parent,0.8095238095238095,0.4603728263874729,0.8052910052910055,0.4514285352348628
Mammals,4,no_mcs,No MCS,0.8015873015873016,0.41175213645920317,0.795767195767196,0.40679838592566664
Mammals,4,supertree,Supertree-based,0.7301587301587301,0.3291515651039889,0.7280423280423283,0.32937530837416024
Mammals,5,original,Proposed,0.27941176470588236,0.28056764413786073,0.2980392156862745,0.2867268872587055
Mammals,5,at_root,Root Attach,0.8088235294117647,0.36898071088090006,0.7980392156862745,0.3700880769204303
Mammals,5,nearest_leaf_parent,Nearest Parent,0.8235294117647058,0.3537797474932007,0.8215686274509805,0.36872927845235154
Mammals,5,no_mcs,No MCS,0.8014705882352942,0.3399210710307816,0.8034313725490195,0.3526908638789393
Mammals,5,supertree,Supertree-based,0.75,0.360977540980999,0.7455882352941176,0.3802269620956557
Mammals,6,original,Proposed,0.3356164383561644,0.24825705883455257,0.3296803652968036,0.250405250930346
Mammals,6,at_root,Root Attach,0.7945205479452054,0.4606874447014955,0.7776255707762555,0.4452391713259597
Mammals,6,nearest_leaf_parent,Nearest Parent,0.8082191780821918,0.4750417642890593,0.7885844748858446,0.4582206324343707
Mammals,6,no_mcs,No MCS,0.8082191780821918,0.4361992736200333,0.7954337899543376,0.42709944839781216
Mammals,6,supertree,Supertree-based,0.726027397260274,0.34221888226911745,0.6872146118721462,0.3546777538273657
Mammals,7,original,Proposed,0.19871794871794873,0.1801088959931798,0.20940170940170943,0.19186962541117508
Mammals,7,at_root,Root Attach,0.8012820512820513,0.4283604149417003,0.7927350427350427,0.4188672264620163
Mammals,7,nearest_leaf_parent,Nearest Parent,0.8141025641025641,0.5875320376868811,0.8085470085470087,0.5881164136686156
Mammals,7,no_mcs,No MCS,0.8012820512820513,0.4283603658554183,0.7927350427350427,0.41886720346925504
Mammals,7,supertree,Supertree-based,0.7371794871794872,0.3620933686462634,0.7384615384615386,0.3654579637247514
Mammals,8,original,Proposed,0.26506024096385544,0.19394240035934562,0.26305220883534136,0.19347183220971756
Mammals,8,at_root,Root Attach,0.8012048192771084,0.4224499829634922,0.7891566265060243,0.43062122476870984
Mammals,8,nearest_leaf_parent,Nearest Parent,0.8012048192771084,0.4512745643399031,0.7991967871485943,0.45440962800564955
Mammals,8,no_mcs,No MCS,0.8072289156626506,0.42130093551179454,0.7951807228915663,0.42327872972137554
Mammals,8,supertree,Supertree-based,0.7289156626506024,0.40974129990570596,0.7257028112449798,0.4043037460790751
Mammals,9,original,Proposed,0.3068181818181818,0.16155217169270591,0.30681818181818177,0.189806007805603
Mammals,9,at_root,Root Attach,0.7386363636363636,0.4362290666029662,0.7428030303030304,0.4404976746324973
Mammals,9,nearest_leaf_parent,Nearest Parent,0.7556818181818181,0.5105231106583691,0.7640151515151516,0.498811661449788
Mammals,9,no_mcs,No MCS,0.75,0.4507916643458571,0.7587121212121212,0.4439334055271359
Mammals,9,supertree,Supertree-based,0.6875,0.5313693851922052,0.6863636363636363,0.5634578606720082
Mammals,10,original,Proposed,0.25268817204301075,0.22639999957450502,0.2541218637992831,0.22147388287233885
Mammals,10,at_root,Root Attach,0.8440860215053764,0.36703851873393767,0.8125448028673835,0.375735060979658
Mammals,10,nearest_leaf_parent,Nearest Parent,0.8387096774193549,0.3931764053179374,0.8157706093189963,0.3910389060971191
Mammals,10,no_mcs,No MCS,0.8440860215053764,0.3492534056245484,0.8204301075268817,0.35521704287462447
Mammals,10,supertree,Supertree-based,0.7580645161290323,0.3587093291219081,0.750537634408602,0.36187864555106125
Mammals,11,original,Proposed,0.32653061224489793,0.1582627460795394,0.32380952380952377,0.16250448961091146
Mammals,11,at_root,Root Attach,0.8112244897959184,0.4125111710115372,0.8000000000000002,0.4115372926663252
Mammals,11,nearest_leaf_parent,Nearest Parent,0.8163265306122449,0.4024568034919426,0.8119047619047618,0.40123212714001205
Mammals,11,no_mcs,No MCS,0.8112244897959184,0.4125779322346418,0.8027210884353742,0.4116395165199926
Mammals,11,supertree,Supertree-based,0.75,0.3669402096303796,0.7428571428571428,0.35872559171385576
Mammals,12,original,Proposed,0.27184466019417475,0.24922376470022012,0.28932038834951457,0.23147896590119352
Mammals,12,at_root,Root Attach,0.8058252427184466,0.44857357180432494,0.8074433656957929,0.4506883908119065
Mammals,12,nearest_leaf_parent,Nearest Parent,0.8300970873786407,0.361295175546828,0.8184466019417476,0.3492844675344325
Mammals,12,no_mcs,No MCS,0.8106796116504854,0.3805211585980034,0.8126213592233008,0.3585497324926418
Mammals,12,supertree,Supertree-based,0.7378640776699029,0.4758596184063959,0.7459546925566343,0.4883930834710576
Mammals,13,original,Proposed,0.21296296296296297,0.17855455280448157,0.21265432098765433,0.17584691521824367
Mammals,13,at_root,Root Attach,0.7685185185185185,0.3795355433131885,0.7564814814814813,0.3790209485803
Mammals,13,nearest_leaf_parent,Nearest Parent,0.7916666666666667,0.35167103113279974,0.7719135802469135,0.35499205280282004
Mammals,13,no_mcs,No MCS,0.7777777777777778,0.3623009837459058,0.766358024691358,0.35609212242496213
Mammals,13,supertree,Supertree-based,0.7268518518518519,0.37105611408371586,0.7058641975308642,0.3790265207339821
Mammals,14,original,Proposed,0.2831858407079646,0.177011842972912,0.28820058997050146,0.18998715065468905
Mammals,14,at_root,Root Attach,0.7654867256637168,0.40740156763449387,0.7775811209439529,0.40533561776004556
Mammals,14,nearest_leaf_parent,Nearest Parent,0.7743362831858407,0.4017486753070507,0.7852507374631269,0.3958726722438303
Mammals,14,no_mcs,No MCS,0.7831858407079646,0.3889318345612625,0.7899705014749263,0.3891704711542831
Mammals,14,supertree,Supertree-based,0.7168141592920354,0.35843649319294035,0.7044247787610621,0.3740428611636706
Mammals,15,original,Proposed,0.3516949152542373,0.18635299204431055,0.3545197740112994,0.19200834812915396
Mammals,15,at_root,Root Attach,0.7627118644067796,0.4355046356829706,0.7663841807909602,0.4190188789007701
Mammals,15,nearest_leaf_parent,Nearest Parent,0.7838983050847458,0.42503894714086665,0.786723163841808,0.41159542308055597
Mammals,15,no_mcs,No MCS,0.7796610169491526,0.41389152149463304,0.7788135593220338,0.39717103542250953
Mammals,15,supertree,Supertree-based,0.7076271186440678,0.3541784524717131,0.7036723163841808,0.3595605858193612
Mammals,16,original,Proposed,0.38617886178861793,0.1700660868106163,0.38888888888888895,0.1767259882261978
Mammals,16,at_root,Root Attach,0.8008130081300813,0.39918165105380643,0.7953929539295392,0.407568236941329
Mammals,16,nearest_leaf_parent,Nearest Parent,0.8048780487804879,0.3826939440287003,0.8070460704607043,0.4010478184303802
Mammals,16,no_mcs,No MCS,0.8008130081300813,0.39917050394693565,0.7951219512195121,0.40755651904490203
Mammals,16,supertree,Supertree-based,0.7113821138211383,0.3372599646241353,0.7130081300813009,0.3519333268033454
Mammals,17,original,Proposed,0.3828125,0.1734124156245418,0.37838541666666664,0.182166023207007
Mammals,17,at_root,Root Attach,0.78125,0.42380488066278094,0.78046875,0.42536699708105724
Mammals,17,nearest_leaf_parent,Nearest Parent,0.7890625,0.4335568805531537,0.7908854166666667,0.4263241574950321
Mammals,17,no_mcs,No MCS,0.78125,0.42380488066278094,0.7817708333333333,0.42557113152315557
Mammals,17,supertree,Supertree-based,0.72265625,0.380291711259639,0.7177083333333333,0.3815899219909192
Mammals,18,original,Proposed,0.37593984962406013,0.18051745127243535,0.3674185463659148,0.17318673397700216
Mammals,18,at_root,Root Attach,0.7781954887218046,0.3952301006374275,0.7691729323308268,0.3961130813983604
Mammals,18,nearest_leaf_parent,Nearest Parent,0.7969924812030075,0.41277209851399177,0.7892230576441103,0.40903902539580267
Mammals,18,no_mcs,No MCS,0.7819548872180451,0.39611632003842356,0.7779448621553884,0.39709585881660525
Mammals,18,supertree,Supertree-based,0.7330827067669172,0.400378407602658,0.719298245614035,0.4020991711865232
Mammals,19,original,Proposed,0.3659420289855072,0.14147010803531324,0.3618357487922706,0.1650912456348829
Mammals,19,at_root,Root Attach,0.7536231884057971,0.39538137461246936,0.7560386473429951,0.4016676934135113
Mammals,19,nearest_leaf_parent,Nearest Parent,0.7608695652173914,0.38150785579217183,0.7625603864734299,0.3969861236691142
Mammals,19,no_mcs,No MCS,0.7681159420289855,0.3674466041415853,0.7657004830917874,0.376648571301366
Mammals,19,supertree,Supertree-based,0.6920289855072463,0.34969250399970775,0.6992753623188406,0.3602864042723465
Mammals,20,original,Proposed,0.38461538461538464,0.16933644505924483,0.3762237762237763,0.1694272525936957
Mammals,20,at_root,Root Attach,0.7972027972027972,0.3709004024407758,0.793006993006993,0.379948421789489
Mammals,20,nearest_leaf_parent,Nearest Parent,0.8076923076923077,0.373563699589253,0.8025641025641026,0.38967004419537027
Mammals,20,no_mcs,No MCS,0.8076923076923077,0.3507013286814837,0.7997668997668997,0.3630074912668004
Mammals,20,supertree,Supertree-based,0.7447552447552448,0.3624330854793154,0.7344988344988345,0.3634546514526272
Sharks,1,original,Proposed,0.17708333333333331,0.22522425245711516,0.18402777777777776,0.2258996043557878
Sharks,1,at_root,Root Attach,0.8125,0.2857988112760651,0.8125,0.2855949984897691
Sharks,1,nearest_leaf_parent,Nearest Parent,0.8125,0.3120183309558346,0.8173611111111112,0.31141344880060967
Sharks,1,no_mcs,No MCS,0.8125,0.28347902130943875,0.8097222222222221,0.2873793310971259
Sharks,1,supertree,Supertree-based,0.78125,0.2715189956398308,0.7763888888888888,0.2675642493041048
Sharks,2,original,Proposed,0.17924528301886794,0.25832585535555985,0.18427672955974841,0.2854782608620738
Sharks,2,at_root,Root Attach,0.7830188679245284,0.29053991819826225,0.7805031446540879,0.3093596404715423
Sharks,2,nearest_leaf_parent,Nearest Parent,0.8113207547169812,0.31763649613469785,0.7974842767295598,0.3278387141508909
Sharks,2,no_mcs,No MCS,0.7924528301886793,0.3044814331282477,0.7767295597484277,0.3201464372795116
Sharks,2,supertree,Supertree-based,0.7358490566037735,0.24288052545097255,0.729559748427673,0.2729125333818729
Sharks,3,original,Proposed,0.2543859649122807,0.3447958991279252,0.2672514619883041,0.32819560707524076
Sharks,3,at_root,Root Attach,0.7894736842105263,0.4165282070412136,0.8023391812865498,0.40769616427983263
Sharks,3,nearest_leaf_parent,Nearest Parent,0.8157894736842105,0.4112526580471869,0.8269005847953217,0.4139723346589602
Sharks,3,no_mcs,No MCS,0.7894736842105263,0.4151550593908334,0.8017543859649122,0.4149635186930511
Sharks,3,supertree,Supertree-based,0.7543859649122807,0.338329007268046,0.7596491228070175,0.3421030655429462
Sharks,4,original,Proposed,0.2698412698412698,0.21912578443627034,0.2571428571428571,0.21806900644366944
Sharks,4,at_root,Root Attach,0.8095238095238095,0.36264729543867363,0.8111111111111113,0.360789024074074
Sharks,4,nearest_leaf_parent,Nearest Parent,0.8650793650793651,0.36193802452793955,0.8386243386243387,0.36073109135124704
Sharks,4,no_mcs,No MCS,0.8253968253968254,0.37073785566829953,0.8153439153439155,0.37263035983183035
Sharks,4,supertree,Supertree-based,0.7698412698412698,0.28632920512776533,0.7682539682539684,0.28259207894401184
Sharks,5,original,Proposed,0.36764705882352944,0.3065890472815277,0.35980392156862745,0.2963579044687715
Sharks,5,at_root,Root Attach,0.8088235294117647,0.3536738723587096,0.8049019607843138,0.3642706604980876
Sharks,5,nearest_leaf_parent,Nearest Parent,0.8088235294117647,0.37913322427139773,0.8088235294117647,0.38366382253098413
Sharks,5,no_mcs,No MCS,0.8014705882352942,0.3820295778983005,0.8019607843137255,0.3881727591597175
Sharks,5,supertree,Supertree-based,0.7426470588235294,0.28079429661137284,0.7411764705882352,0.28665290147938755
Sharks,6,original,Proposed,0.3013698630136986,0.23412165766280102,0.32328767123287666,0.2273484654069643
Sharks,6,at_root,Root Attach,0.7945205479452054,0.3524791604509028,0.7894977168949769,0.3521083921071161
Sharks,6,nearest_leaf_parent,Nearest Parent,0.8082191780821918,0.3448288529289193,0.808675799086758,0.3350401302275007
Sharks,6,no_mcs,No MCS,0.821917808219178,0.36916790339460737,0.7986301369863013,0.3689980079683238
Sharks,6,supertree,Supertree-based,0.7191780821917808,0.28282512001176446,0.723744292237443,0.28981856114091353
Sharks,7,original,Proposed,0.1794871794871795,0.15486739297637508,0.19017094017094022,0.1608045010749281
Sharks,7,at_root,Root Attach,0.8076923076923077,0.3373853609924707,0.8085470085470087,0.33343493947787567
Sharks,7,nearest_leaf_parent,Nearest Parent,0.8012820512820513,0.3663541418487196,0.8025641025641026,0.3635388146677301
Sharks,7,no_mcs,No MCS,0.8076923076923077,0.3373853609924707,0.8081196581196582,0.3334324895663712
Sharks,7,supertree,Supertree-based,0.7692307692307693,0.3049003222446717,0.7529914529914531,0.3055287055906302
Sharks,8,original,Proposed,0.3253012048192771,0.25568997394189785,0.32048192771084333,0.23773091622007725
Sharks,8,at_root,Root Attach,0.7831325301204819,0.39307616138523427,0.7803212851405623,0.3896302624950962
Sharks,8,nearest_leaf_parent,Nearest Parent,0.7951807228915663,0.38387874645581926,0.7863453815261044,0.3892486858458011
Sharks,8,no_mcs,No MCS,0.7831325301204819,0.4109330401255279,0.7787148594377509,0.40713024973074063
Sharks,8,supertree,Supertree-based,0.7409638554216867,0.3086446943339331,0.7228915662650601,0.30891586575856533
Sharks,9,original,Proposed,0.36363636363636365,0.28155921793540806,0.36969696969696975,0.2867424879711604
Sharks,9,at_root,Root Attach,0.7613636363636364,0.41084164548579505,0.759090909090909,0.41737340514312155
Sharks,9,nearest_leaf_parent,Nearest Parent,0.7727272727272727,0.39572852930955216,0.7734848484848486,0.39931655576801883
Sharks,9,no_mcs,No MCS,0.7613636363636364,0.41358176820295145,0.7662878787878789,0.41844850521040156
Sharks,9,supertree,Supertree-based,0.6988636363636365,0.32283727411089846,0.6962121212121212,0.33535569038362034
Sharks,10,original,Proposed,0.25806451612903225,0.24712070874134928,0.2559139784946236,0.2460648266298412
Sharks,10,at_root,Root Attach,0.8172043010752689,0.38352183713041993,0.8182795698924731,0.3833031661423542
Sharks,10,nearest_leaf_parent,Nearest Parent,0.8279569892473119,0.391362430918368,0.825089605734767,0.3919540156093269
Sharks,10,no_mcs,No MCS,0.8172043010752689,0.4079389345893886,0.8172043010752686,0.41102769685760215
Sharks,10,supertree,Supertree-based,0.7741935483870968,0.29780004633549884,0.7684587813620072,0.2973172560730816
Sharks,11,original,Proposed,0.2857142857142857,0.20647543093627208,0.2693877551020408,0.21684116422613675
Sharks,11,at_root,Root Attach,0.8367346938775511,0.35777431191232445,0.8102040816326531,0.3700601085720517
Sharks,11,nearest_leaf_parent,Nearest Parent,0.8316326530612246,0.3981979186828012,0.8166666666666669,0.38518503068262877
Sharks,11,no_mcs,No MCS,0.8367346938775511,0.3600094886805092,0.8112244897959184,0.3704830509978849
Sharks,11,supertree,Supertree-based,0.7551020408163265,0.2962794231990893,0.7537414965986395,0.30190755973046896
Sharks,12,original,Proposed,0.2621359223300971,0.21087008222929998,0.26148867313915863,0.23240009395935946
Sharks,12,at_root,Root Attach,0.7961165048543689,0.3561922136344702,0.7873786407766991,0.3570755039995763
Sharks,12,nearest_leaf_parent,Nearest Parent,0.8058252427184466,0.34622543647496457,0.7996763754045307,0.35380975386156444
Sharks,12,no_mcs,No MCS,0.7961165048543689,0.3802533872438346,0.7906148867313917,0.3798809506174464
Sharks,12,supertree,Supertree-based,0.7378640776699029,0.2811099775344098,0.7284789644012946,0.2876489708529336
Sharks,13,original,Proposed,0.29166666666666663,0.27099960661801925,0.29567901234567906,0.2659686331338686
Sharks,13,at_root,Root Attach,0.7916666666666667,0.3968966563020691,0.7808641975308641,0.392109144046398
Sharks,13,nearest_leaf_parent,Nearest Parent,0.7916666666666667,0.38752808787301674,0.7898148148148147,0.398460962182389
Sharks,13,no_mcs,No MCS,0.7916666666666667,0.3968966563020691,0.7839506172839505,0.3926353468436302
Sharks,13,supertree,Supertree-based,0.7453703703703703,0.30358700092167146,0.7361111111111113,0.31057610967092064
Sharks,14,original,Proposed,0.25663716814159293,0.24301275611529288,0.26666666666666666,0.2508288571077653
Sharks,14,at_root,Root Attach,0.7920353982300885,0.36852447098064633,0.7840707964601771,0.38463950912885214
Sharks,14,nearest_leaf_parent,Nearest Parent,0.8008849557522124,0.38224962356062153,0.7932153392330382,0.38403960970176537
Sharks,14,no_mcs,No MCS,0.7964601769911505,0.3973981101572082,0.7867256637168142,0.41055514414098104
