group,subset,method_key,method,tree_idx,normalized_rf,bsd
Amphibians,1,no_mcs,No MCS,25,0.8541666666666666,0.33605876291033027
Amphibians,1,no_mcs,No MCS,26,0.8541666666666666,0.4681691269661098
Amphibians,1,no_mcs,No MCS,27,0.8333333333333334,0.33428890627973373
Amphibians,1,no_mcs,No MCS,28,0.7708333333333334,0.4551369588616113
Amphibians,1,no_mcs,No MCS,29,0.8333333333333334,0.4233319628684811
Amphibians,1,no_mcs,No MCS,30,0.7916666666666666,0.3001498913546119
Amphibians,1,supertree,Supertree-based,1,0.7291666666666666,0.34336967701898347
Amphibians,1,supertree,Supertree-based,2,0.6875,0.3468530387437053
Amphibians,1,supertree,Supertree-based,3,0.8541666666666666,0.3698700930474568
Amphibians,1,supertree,Supertree-based,4,0.8333333333333334,0.35631612669880414
Amphibians,1,supertree,Supertree-based,5,0.7083333333333334,0.31413167747023235
Amphibians,1,supertree,Supertree-based,6,0.8333333333333334,0.42689746103178633
Amphibians,1,supertree,Supertree-based,7,0.5833333333333334,0.32121642364041897
Amphibians,1,supertree,Supertree-based,8,0.7916666666666666,0.32540448355565976
Amphibians,1,supertree,Supertree-based,9,0.7291666666666666,0.3434401966303227
Amphibians,1,supertree,Supertree-based,10,0.8125,0.36412044479483135
Amphibians,1,supertree,Supertree-based,11,0.9375,0.36262379201794837
Amphibians,1,supertree,Supertree-based,12,0.8958333333333334,0.39192664816441575
Amphibians,1,supertree,Supertree-based,13,0.9166666666666666,0.36157344649948664
Amphibians,1,supertree,Supertree-based,14,0.6666666666666666,0.32511582852275633
Amphibians,1,supertree,Supertree-based,15,0.875,0.37044559039871927
Amphibians,1,supertree,Supertree-based,16,0.8958333333333334,0.3633684010888661
Amphibians,1,supertree,Supertree-based,17,0.6458333333333334,0.3110840417341811
Amphibians,1,supertree,Supertree-based,18,0.7708333333333334,0.33435680291968506
Amphibians,1,supertree,Supertree-based,19,0.7916666666666666,0.36391744723191705
Amphibians,1,supertree,Supertree-based,20,0.7708333333333334,0.2989272772600852
Amphibians,1,supertree,Supertree-based,21,0.6875,0.2975773491419744
Amphibians,1,supertree,Supertree-based,22,0.8125,0.3380363564677711
